id,event_id,minute,team_id,player_id,x,y,expanded_minute,qualifiers,satisfiedEventsTypes,is_touch,second,end_x,end_y,relatedEventId,relatedPlayerId,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,PassEndY,Angle,PassEndX,Zone,Length,Longball,OppositeRelatedEvent,Defensive,Offensive,Head,ThrowIn,StandingSave,PlayerCaughtOffside,IndirectFreekickTaken,FreekickTaken,Chipped,HeadPass,LayOff,MissHigh,GoalKick,Cross,RightFoot,IntentionalAssist,ShotAssist,KeyPass,BlockedX,Assisted,Blocked,GoalMouthZ,RegularPlay,GoalMouthY,FirstTouch,BlockedY,RelatedEventId,BoxCentre,LowCentre,OutfielderBlock,Foul,Penalty,KeeperSaved,MissRight,DivingSave,LowLeft,BigChance,Feet,ParriedSafe,KeeperSaveInTheBox,LeftFoot,PlayerPosition,JerseyNumber,FormationSlot,BlockedCross,KeeperThrow,LowRight,OutOfBoxCentre,IndividualPlay,OutOfBoxDeepLeft,DirectFreekick,MissLeft,CornerTaken,SetPiece,BoxLeft,Yellow,HighLeft,FromCorner,ThirtyFivePlusCentre,ParriedDanger,Hands,KeeperSaveObox,BigChanceCreated,HighClaim,IntentionalGoalAssist,OverRun,Volley,HighCentre,BoxRight,Collected,LeadingToGoal,LastMan
2885532573.0,3,0,495,317541.0,49.9,50.1,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.72'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,0.0,29.0,64.5,,,,,,,,,,FirstHalf,Pass,Successful,64.5,2.72,29.0,Back,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532635.0,4,0,495,236519.0,30.5,63.1,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.48'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.7'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 216, 218]",True,3.0,66.4,5.7,,,,,,,,,,FirstHalf,Pass,Unsuccessful,5.7,5.48,66.4,Right,54.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532647.0,3,0,9719,398417.0,33.6,94.3,0,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[197, 200]",False,7.0,,,,,,,,,,,,FirstHalf,Aerial,Successful,,,,Back,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532637.0,5,0,495,349932.0,66.4,5.7,0,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[198, 199]",False,7.0,,,,,,,,,,,,FirstHalf,Aerial,Unsuccessful,,,,Right,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532659.0,4,0,9719,398417.0,33.6,94.3,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.7'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.8'}]","[91, 94, 95, 57, 216]",True,9.0,40.7,100.0,,,,,,,,,,FirstHalf,Clearance,Successful,100.0,0.56,40.7,Back,8.8,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532837.0,7,0,495,349932.0,60.3,0.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.44'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.3'}]","[91, 212, 36, 37, 216]",True,23.0,61.3,11.1,,,,,,,,,,FirstHalf,Pass,Successful,11.1,1.44,61.3,Right,8.4,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532849.0,8,0,495,317541.0,51.6,45.9,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.10'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,29.0,44.9,63.4,,,,,,,,,,FirstHalf,Pass,Successful,63.4,2.1,44.9,Back,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532861.0,9,0,495,236519.0,44.9,63.4,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.45'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,31.0,40.1,35.5,,,,,,,,,,FirstHalf,Pass,Successful,35.5,4.45,40.1,Back,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532897.0,10,0,495,362434.0,40.0,35.1,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '1.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.35'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,34.0,56.3,1.2,,,,,,,,,,FirstHalf,Pass,Successful,1.2,5.35,56.3,Right,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532901.0,11,0,495,349932.0,65.9,28.4,0,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 70]",True,39.0,,,,,,,,,,,,FirstHalf,Dispossessed,Successful,,,,Center,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532913.0,8,0,9719,322667.0,34.1,71.6,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 143]",True,39.0,,,,,,,,,,,,FirstHalf,Tackle,Successful,,,,Back,,,11.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885532919.0,9,0,9719,457225.0,34.3,61.7,0,[],[93],False,41.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
