id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,card_type,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndX,Length,PassEndY,Zone,Chipped,Longball,Offensive,OppositeRelatedEvent,Defensive,HeadPass,ThrowIn,Foul,FreekickTaken,GoalKick,Head,LayOff,KeeperThrow,Cross,RightFoot,MissLeft,MissRight,CornerTaken,StandingSave,LeftFoot,RelatedEventId,Yellow,MissHigh,IntentionalAssist,ShotAssist,KeyPass,BlockedX,SixYardBlock,Blocked,GoalMouthY,LowRight,BlockedY,FirstTouch,Assisted,SmallBoxRight,FromCorner,GoalMouthZ,OutfielderBlock,JerseyNumber,PlayerPosition,FormationSlot,BoxCentre,LowLeft,BigChanceCreated,SmallBoxCentre,BigChance,SetPiece,BlockedCross,BoxLeft,IndividualPlay,RegularPlay,LowCentre,ParriedDanger,DivingSave,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,PlayerCaughtOffside,IndirectFreekickTaken,OverRun,HighClaim,SmallBoxLeft,AerialFoul,OutOfBoxCentre,DirectFreekick,BoxRight
2888276391.0,3,0,0.0,495,50.0,50.0,0,"[91, 117, 30, 35, 37, 216, 218]",True,317541.0,33.4,53.7,,,,,,,,,,FirstHalf,Pass,Successful,3.0,33.4,17.6,53.7,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276399.0,4,0,5.0,495,33.4,53.7,0,"[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,362434.0,74.9,3.6,,,,,,,,,,FirstHalf,Pass,Successful,5.62,74.9,55.3,3.6,Right,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276401.0,5,0,8.0,495,74.9,3.6,0,"[197, 199]",False,346110.0,,,,,,,,,,,,FirstHalf,Aerial,Successful,,,,,Right,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276395.0,3,0,8.0,863,25.1,96.4,0,"[198, 200]",False,502951.0,,,,,,,,,,,,FirstHalf,Aerial,Unsuccessful,,,,,Back,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276407.0,6,0,8.0,495,74.9,3.6,0,"[91, 120, 29, 139, 36, 37, 217, 218]",True,346110.0,82.8,6.6,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.24,82.8,8.5,6.6,Right,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276405.0,4,0,9.0,863,16.5,91.3,0,[93],False,335583.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276409.0,5,0,10.0,863,17.3,93.0,0,"[91, 118, 120, 128, 36, 38, 216, 218]",True,335583.0,39.7,91.5,,,,,,,,,,FirstHalf,Pass,Unsuccessful,6.24,39.7,23.5,91.5,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276415.0,7,0,12.0,495,60.3,8.5,0,"[91, 101, 56]",True,433572.0,,,,,,,,,,,,FirstHalf,Interception,Successful,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276417.0,8,0,12.0,495,70.7,9.3,0,"[91, 120, 29, 139, 36, 37, 217, 218]",True,433572.0,76.8,17.8,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.73,76.8,8.6,17.8,Right,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276423.0,6,0,13.0,863,25.9,84.7,0,"[91, 117, 127, 36, 216, 218]",True,468190.0,33.6,84.7,,,,,,,,,,FirstHalf,Pass,Successful,0.0,33.6,8.1,84.7,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276425.0,7,0,16.0,863,33.6,84.7,0,"[91, 69]",True,342857.0,,,,,,,,,,,,FirstHalf,BallTouch,Unsuccessful,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276453.0,10,0,25.0,495,67.5,0.0,0,"[91, 212, 35, 37, 216]",True,317541.0,61.6,5.5,,,,,,,,,,FirstHalf,Pass,Successful,2.49,61.6,7.8,5.5,Right,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276467.0,11,0,28.0,495,60.9,5.5,0,"[91, 117, 30, 35, 37, 216, 218]",True,320834.0,40.6,16.8,,,,,,,,,,FirstHalf,Pass,Successful,2.8,40.6,22.7,16.8,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276473.0,12,0,31.0,495,39.2,18.4,0,"[91, 117, 30, 35, 37, 216, 218]",True,362434.0,34.6,51.9,,,,,,,,,,FirstHalf,Pass,Successful,1.78,34.6,23.3,51.9,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276491.0,13,0,33.0,495,34.8,52.2,0,"[91, 117, 30, 36, 38, 216, 218]",True,137512.0,38.2,25.0,,,,,,,,,,FirstHalf,Pass,Successful,4.9,38.2,18.8,25.0,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276501.0,14,0,35.0,495,38.1,25.0,0,"[91, 119, 117, 30, 36, 38, 216, 218]",True,362434.0,52.3,3.6,,,,,,,,,,FirstHalf,Pass,Successful,5.51,52.3,20.8,3.6,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276509.0,15,0,40.0,495,61.2,6.6,0,"[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,320834.0,77.0,23.8,,,,,,,,,,FirstHalf,Pass,Successful,0.61,77.0,20.3,23.8,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276513.0,16,0,41.0,495,77.0,23.8,0,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,346110.0,91.4,22.0,,,,,,,,,,FirstHalf,Pass,Successful,6.2,91.4,15.2,22.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276515.0,17,0,42.0,495,91.4,22.0,0,"[91, 120, 29, 35, 37, 217, 218]",True,433572.0,89.9,24.9,,,,,,,,,,FirstHalf,Pass,Unsuccessful,2.24,89.9,2.5,24.9,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276519.0,10,0,44.0,863,10.0,80.8,0,[93],False,443793.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276525.0,11,0,44.0,863,10.0,80.8,0,"[91, 117, 30, 36, 37, 215, 218]",True,443793.0,25.5,90.6,,,,,,,,,,FirstHalf,Pass,Successful,0.39,25.5,17.6,90.6,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276529.0,12,0,46.0,863,27.5,90.3,0,"[91, 117, 30, 36, 37, 216, 218]",True,502951.0,43.6,93.4,,,,,,,,,,FirstHalf,Pass,Successful,0.12,43.6,17.0,93.4,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276531.0,13,0,53.0,863,88.6,90.7,0,"[91, 120, 29, 35, 38, 217, 218]",True,342857.0,81.9,62.2,,,,,,,,,,FirstHalf,Pass,Unsuccessful,4.36,81.9,20.6,62.2,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276545.0,18,0,56.0,495,9.0,31.9,0,"[91, 94, 95, 216]",True,404776.0,41.5,0.0,,,,,,,,,,FirstHalf,Clearance,Successful,5.7,41.5,40.9,0.0,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
