id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,blocked_x,blocked_y,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Length,PassEndX,Zone,PassEndY,Angle,Longball,ThrowIn,Defensive,Foul,OppositeRelatedEvent,Offensive,FreekickTaken,HeadPass,Chipped,LeftFoot,Cross,Head,DirectFreekick,OutOfBoxCentre,GoalMouthY,GoalMouthZ,RightFoot,MissHigh,GoalKick,StandingSave,LayOff,MissLeft,MissRight,CornerTaken,PlayerCaughtOffside,IndirectFreekickTaken,KeeperThrow,IntentionalAssist,ShotAssist,KeyPass,BoxRight,FirstTouch,BlockedX,BlockedY,RelatedEventId,RegularPlay,Assisted,LowCentre,ParriedDanger,Hands,DivingSave,KeeperSaveInTheBox,BigChance,SmallBoxCentre,OverRun,Yellow,SetPiece,BoxCentre,Blocked,OutfielderBlock,Volley,HighLeft,BigChanceCreated,HighRight,Penalty,KeeperMissed,LowLeft,FromCorner,IndividualPlay,BoxLeft,PlayerPosition,JerseyNumber,FormationSlot,LowRight,LeadingToAttempt,Throughball,Feet,ParriedSafe,FastBreak,Collected,KeeperSaveObox
2886293901.0,3,0,0.0,495,49.8,49.9,0,"[91, 117, 30, 35, 37, 215, 218]",True,317541.0,27.6,53.1,,,,,,,,,,FirstHalf,Pass,Successful,23.4,27.6,Back,53.1,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293903.0,4,0,2.0,495,29.0,52.8,0,"[91, 120, 128, 36, 38, 217, 218]",True,362434.0,85.3,0.0,,,,,,,,,,FirstHalf,Pass,Unsuccessful,69.5,85.3,Right,0.0,5.73,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293913.0,4,0,12.0,1469,17.3,100.0,0,"[91, 212, 35, 38, 215]",True,434240.0,6.4,84.7,,,,,,,,,,FirstHalf,Pass,Successful,15.8,6.4,Back,84.7,3.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886306529.0,728,0,14.0,1469,6.4,89.6,0,"[91, 53]",True,438654.0,,,,,,,,,,,,FirstHalf,TakeOn,Unsuccessful,,,Back,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293915.0,5,0,17.0,1469,4.2,84.6,0,"[91, 63]",True,438654.0,,,,,,,,,,,,FirstHalf,Foul,Successful,,,Back,,,,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293911.0,6,0,17.0,495,95.8,15.4,0,[64],False,346110.0,,,,,,,,,,,,FirstHalf,Foul,Unsuccessful,,,Right,,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293951.0,6,0,48.0,1469,8.5,84.5,0,"[91, 120, 128, 133, 36, 37, 217, 218]",True,280987.0,67.6,90.9,,,,,,,,,,FirstHalf,Pass,Unsuccessful,62.2,67.6,Left,90.9,0.07,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293949.0,7,0,50.0,495,32.4,9.1,0,"[197, 200]",False,349932.0,,,,,,,,,,,,FirstHalf,Aerial,Successful,,,Back,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293953.0,7,0,50.0,1469,67.6,90.9,0,"[198, 199]",False,514978.0,,,,,,,,,,,,FirstHalf,Aerial,Unsuccessful,,,Left,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293955.0,8,0,51.0,495,32.4,9.1,0,"[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,349932.0,44.7,3.1,,,,,,,,,,FirstHalf,Pass,Unsuccessful,13.5,44.7,Back,3.1,5.98,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
