id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Zone,Angle,Length,PassEndY,PassEndX,Longball,ThrowIn,HeadPass,Chipped,Offensive,OppositeRelatedEvent,Defensive,LeadingToAttempt,OutOfBoxCentre,RegularPlay,BlockedY,BlockedX,Blocked,RightFoot,GoalMouthY,LowLeft,IndividualPlay,GoalMouthZ,OutfielderBlock,LayOff,Foul,FreekickTaken,StandingSave,ShotAssist,KeyPass,Assisted,BoxRight,RelatedEventId,MissLeft,LeftFoot,GoalKick,Cross,Head,OverRun,DivingSave,Hands,ParriedSafe,KeeperSaveObox,MissRight,CornerTaken,IntentionalAssist,BoxCentre,FirstTouch,SetPiece,BigChanceCreated,BigChance,LastMan,Yellow,DirectFreekick,MissHigh,BoxLeft,KeeperSaveInTheBox,AerialFoul,Volley,FastBreak,LowRight,KeeperThrow,HighClaim,HighRight,FromCorner,SmallBoxRight,LowCentre,PlayerPosition,JerseyNumber,FormationSlot,Throughball,KeeperMissed,Penalty,PenaltyShootoutConcededGK,KeeperSaved
2889504409.0,3,0,0,495,50.3,50.1,0,"[91, 117, 30, 35, 38, 215, 218]",True,317541.0,30.9,37.2,,,,,,,,,,FirstHalf,Pass,Successful,Back,3.55,22.2,37.2,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504457.0,4,0,4,495,31.1,37.5,0,"[91, 120, 128, 36, 38, 217, 218]",True,362434.0,78.4,14.4,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Right,5.98,52.1,14.4,78.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504483.0,4,0,9,977,28.0,86.8,0,[91],True,396976.0,,,,,,,,,,,,FirstHalf,BallTouch,Successful,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504611.0,7,0,18,495,93.0,0.0,0,"[91, 212, 35, 37, 217]",True,317541.0,81.5,4.2,,,,,,,,,,FirstHalf,Pass,Successful,Right,2.83,12.7,4.2,81.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504665.0,8,0,22,495,77.8,7.3,0,"[91, 119, 117, 30, 35, 37, 216, 218]",True,320834.0,54.9,21.3,,,,,,,,,,FirstHalf,Pass,Successful,Center,2.76,25.9,21.3,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504715.0,9,0,28,495,54.9,21.3,0,"[91, 117, 127, 35, 37, 215, 218]",True,362434.0,19.1,37.9,,,,,,,,,,FirstHalf,Pass,Successful,Back,2.85,39.2,37.9,19.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504741.0,10,0,34,495,20.3,38.7,0,"[91, 120, 128, 36, 38, 217, 218]",True,136220.0,72.8,23.7,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Center,6.1,56.1,23.7,72.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504763.0,6,0,37,977,28.5,91.7,0,"[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,454408.0,34.5,94.2,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Back,0.26,6.5,94.2,34.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504755.0,11,0,38,495,70.7,19.8,0,"[91, 69]",True,317541.0,,,,,,,,,,,,FirstHalf,BallTouch,Unsuccessful,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889504785.0,8,0,39,977,35.2,91.8,0,"[91, 120, 128, 36, 38, 217, 218]",True,136824.0,79.4,53.7,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Center,5.77,53.2,53.7,79.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
